,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
316,ADSL,98.64442201,-0.212077542,0.237950695,-0.891266748,0.372786083,0.649848532
317,ADSS,290.8887454,-0.17605963,0.162675003,-1.082278328,0.279128873,0.561421959
318,ADSSL1,109.9917735,0.192295028,0.253271093,0.759245858,0.447705499,0.705423697
319,ADTRP,53.20544326,-0.053377345,0.325186729,-0.164143675,0.86961804,0.948361854
320,AEBP1,5.551412784,0.686664758,0.950258557,0.72260834,0.469920543,NA
321,AEBP2,616.8651328,0.056909364,0.145705766,0.390577295,0.696109711,0.863920321
322,AEN,249.8233213,0.380833702,0.171887622,2.21559702,0.026719113,0.139141042
323,AES,446.3532028,0.016581724,0.177889751,0.093213486,0.925733961,0.971184947
324,AFAP1,538.4325272,0.134351281,0.12937336,1.038477176,0.299047956,0.581931158
325,AFAP1L1,245.5370546,-0.243249733,0.17802869,-1.366351308,0.171828724,0.434256211
326,AFF1,872.8234391,-0.083344856,0.102328057,-0.81448684,0.415366108,0.682216852
327,AFF2,25.44126008,0.06735908,0.481842154,0.139794909,0.888822036,NA
328,AFF3,0.123875824,0,5.39771668,0,1,NA
329,AFF4,3629.004966,0.054274525,0.090652135,0.598712044,0.549364924,0.777119858
330,AFG3L2,496.3548896,-0.143210995,0.130987877,-1.093314873,0.274255575,0.557389801
331,AFM,0.177896231,0,5.39771668,0,1,NA
332,AFMID,73.20011721,0.47724132,0.29104393,1.639756995,0.101055703,0.318777575
333,AFP,1.059805519,0.661543909,2.603394694,0.254108188,0.799411978,NA
334,AFTPH,419.8353643,-0.099351062,0.141670962,-0.701280353,0.483128072,0.731873842
335,AGA,127.4442599,-0.315004335,0.235796051,-1.335918615,0.181575876,0.447153119
336,AGAP1,316.7860896,0.129227647,0.146950057,0.87939841,0.379185294,0.655137725
337,AGAP3,317.1184597,0.317968638,0.16267767,1.954593013,0.050631127,0.210313911
338,AGBL1,0,NA,NA,NA,NA,NA
339,AGBL2,60.74371384,-0.086292025,0.331413532,-0.260375684,0.794573998,0.912655685
340,AGBL3,10.27464377,0.306747572,0.893068832,0.343475845,0.73124051,NA
341,AGBL4,0.27974583,-0.063887335,4.68453334,-0.013637929,0.989118844,NA
342,AGBL5,122.7332709,0.019413105,0.220023809,0.088231837,0.929692413,0.972753796
343,AGER,188.1154096,0.046519214,0.248217327,0.187413243,0.85133664,0.939363902
344,AGFG1,783.3982116,0.210264981,0.124337462,1.691083097,0.090820933,0.299373352
345,AGFG2,70.64750129,-0.006389596,0.282553156,-0.022613785,0.981958348,0.993557856
346,AGK,240.0408605,-0.079996571,0.158722635,-0.504002287,0.61425977,0.818758981
347,AGL,558.091034,-0.24473328,0.120537411,-2.030351223,0.042320851,0.185651203
348,AGMAT,13.55694019,-0.057500956,0.684203139,-0.084040767,0.933024019,NA
349,AGMO,0,NA,NA,NA,NA,NA
350,AGO1,697.0408321,0.143291567,0.108655509,1.318769468,0.187246195,0.452671092
351,AGO2,995.3127969,0.311405188,0.111103573,2.80283684,0.005065529,0.045099547
352,AGO3,420.7355148,0.298495791,0.159428894,1.87228164,0.061167649,0.238541441
353,AGO4,494.3679006,0.160000171,0.125777178,1.272092238,0.203340349,0.47446578
354,AGPAT1,255.9467111,-0.062263707,0.158991729,-0.391616016,0.695341952,0.863398855
355,AGPAT2,100.7000139,0.385415367,0.265384939,1.452288016,0.146421538,0.397294881
356,AGPAT3,458.4197007,0.152158749,0.125662952,1.210848119,0.225953619,0.504135089
357,AGPAT4,114.189558,0.368522311,0.230526033,1.598614725,0.109906236,0.335389545
358,AGPAT5,524.9776726,0.049283189,0.129971154,0.379185591,0.70455005,0.868644907
359,AGPAT9,83.46834189,-0.470657959,0.263875449,-1.783636789,0.074482704,0.2652487
360,AGPS,1174.843409,-0.229737744,0.104875523,-2.190575421,0.028482531,0.144980754
361,AGR2,0,NA,NA,NA,NA,NA
362,AGR3,0.033979464,0,5.39771668,0,1,NA
363,AGRN,2343.549161,0.579280504,0.200581033,2.888012369,0.003876846,0.036967701
364,AGT,0.462923831,-0.069693558,3.643388217,-0.019128776,0.984738375,NA
365,AGTPBP1,236.8364835,0.253532884,0.179812369,1.409985783,0.158543881,0.415315581
366,AGTR1,0.185376339,1.244073813,5.391208658,0.230759722,0.817501474,NA
367,AGTRAP,26.4848786,0.114067874,0.43870189,0.260012269,0.79485431,NA
368,AGXT,0,NA,NA,NA,NA,NA
369,AGXT2,249.9852202,-0.447993702,0.163198917,-2.745077661,0.006049658,0.051331684
370,AHCTF1,1957.380036,-0.165521393,0.102893831,-1.60866197,0.107690276,0.331786226
371,AHCY,402.5084018,-0.292209405,0.154632409,-1.889703499,0.058797626,0.232434046
372,AHCYL1,1027.037529,-0.01060047,0.097977359,-0.108193054,0.913842555,0.966259405
373,AHCYL2,260.7127654,0.042473672,0.161807728,0.262494706,0.792940067,0.911562309
374,AHDC1,517.4288004,0.251142527,0.156078313,1.609080229,0.1075988,0.331710107
375,AHI1,78.63338554,0.264836057,0.325667893,0.813208985,0.416098249,0.682686955
376,AHNAK,7965.858545,-0.341796434,0.113739196,-3.00508924,0.002655029,0.027768813
377,AHNAK2,998.6919327,0.054113941,0.13504326,0.400715602,0.688629523,0.859359827
378,AHR,280.7944742,0.045330437,0.164140775,0.276168047,0.782418998,0.907237153
379,AHRR,9.924834161,0.432343338,0.831491585,0.519961171,0.603090639,NA
380,AHSA1,299.0419714,-0.644264485,0.155288439,-4.148824538,3.34186826081849e-05,0.000902304
381,AHSG,0.48151533,0.966755511,3.304171724,0.29258634,0.769838356,NA
382,AHSP,0.083743585,1.392379705,5.382264302,0.258697758,0.79586845,NA
383,AICDA,0,NA,NA,NA,NA,NA
384,AIDA,650.2172581,-0.216105344,0.115620188,-1.869096968,0.061609325,0.238541441
385,AIF1L,25.8079539,0.704136639,0.504428057,1.395910933,0.162741318,NA
386,AIFM1,262.4563203,-0.559594058,0.166144034,-3.368126109,0.00075681,0.010977608
387,AIFM3,2.424397543,-0.08722333,1.609258137,-0.054200956,0.956775059,NA
388,AIM1,869.4364281,-0.11362825,0.104156201,-1.090940807,0.27529893,0.557636725
389,AIM1L,0.126493505,0,5.39771668,0,1,NA
390,AIM2,0.033979464,0,5.39771668,0,1,NA
391,AIMP1,215.4927034,-0.588068781,0.171636061,-3.426254236,0.000611967,0.009441781
392,AIMP2,63.48907496,0.193891785,0.3216512,0.602801373,0.546640833,0.775585223
393,AIP,70.60512109,0.021479517,0.288387064,0.074481556,0.940627216,0.977063264
394,AIPL1,0.385435926,0,4.553614723,0,1,NA
395,AIRE,0,NA,NA,NA,NA,NA
396,AJAP1,0,NA,NA,NA,NA,NA
397,AJUBA,755.7293773,-0.147929045,0.110420253,-1.339691239,0.180345747,0.446114547
398,AK1,61.51141674,-0.402279608,0.305149961,-1.318301355,0.187402788,0.452829304
399,AK2,983.2645331,-0.032186999,0.094039215,-0.342272092,0.732146136,0.883329624
400,AK3,525.3825311,-0.127191445,0.146912019,-0.865766097,0.386618445,0.66060892
401,AK4,816.3523193,-0.132766161,0.11079513,-1.198303213,0.230798996,0.509377793
402,AK5,8.764675887,-0.384446198,0.795921291,-0.483020371,0.629081272,NA
403,AK7,6.786756581,0.792310629,0.855334151,0.926317075,0.354281225,NA
404,AK8,1.170462634,0.078791303,2.404242892,0.032771773,0.973856588,NA
405,AK9,6.475386472,-1.056430941,0.973367324,-1.085336351,0.277772711,NA
406,AKAP10,247.2707521,0.110915568,0.175964557,0.630329027,0.528479335,0.762381823
407,AKAP11,941.2867071,-0.073176438,0.112042903,-0.653110876,0.513684801,0.752542974
408,AKAP12,3498.798098,0.052505941,0.115097964,0.456184792,0.6482571,0.83873959
409,AKAP13,2052.291722,0.089690569,0.087757841,1.022023429,0.306769812,0.588036764
410,AKAP3,17.59682795,-0.095606835,0.525359381,-0.181983683,0.855595531,NA
411,AKAP4,0,NA,NA,NA,NA,NA
412,AKAP5,47.80463028,0.300742354,0.401840024,0.74841314,0.454210999,0.711499367
413,AKAP6,46.19557913,-0.199523248,0.356928072,-0.559001277,0.576160849,0.796651015
414,AKAP7,125.7496733,-0.40497034,0.213607427,-1.89586264,0.05797821,0.230634533
415,AKAP8,142.5769186,-0.214021285,0.214790598,-0.996418314,0.319046938,0.59925338
416,AKAP8L,325.3093456,-0.235209656,0.155089772,-1.516603274,0.129366878,0.368417046
417,AKAP9,1365.085887,-0.266851634,0.118436211,-2.253125398,0.024251243,0.130743546
418,AKIP1,43.78392373,-0.344057133,0.335650359,-1.025046222,0.305341378,0.587680188
419,AKIRIN1,474.1706396,0.146802817,0.157399255,0.932677965,0.350986265,0.629433817
420,AKNA,193.2666924,0.503719884,0.198509397,2.537511525,0.011164369,0.077790444
421,AKNAD1,0.23152667,0,5.39771668,0,1,NA
422,AKR1A1,151.8587776,-0.010569888,0.206117352,-0.051280923,0.959101669,0.984669786
423,AKR1B1,1268.649051,-0.146867758,0.132048994,-1.112221716,0.266042833,0.549792344
424,AKR1D1,0.127172312,-0.061788809,5.36724273,-0.011512207,0.990814791,NA
425,AKR1E2,1165.414539,-0.234127486,0.098084181,-2.387005555,0.016986235,0.102723814
426,AKR7A2,72.77914471,0.410092236,0.27955379,1.466952875,0.142388875,0.390979367
427,AKT1,784.9744292,0.098640386,0.116633868,0.845726789,0.397705175,0.668948786
428,AKT1S1,218.8416715,0.188591249,0.169924622,1.109852396,0.267062637,0.551515956
429,AKT2,360.2683884,0.344943797,0.150615598,2.290226263,0.022008204,0.122300622
430,AKT3,713.8525146,-0.008268112,0.110814637,-0.074612096,0.94052335,0.977063264
431,AKTIP,0.276714626,0,4.680743735,0,1,NA
432,ALAS1,218.9661084,-0.256472298,0.180634477,-1.419841343,0.155653876,0.410944495
433,ALAS2,0,NA,NA,NA,NA,NA
434,ALB,4.423026407,0.48486941,1.290480382,0.375727843,0.707119236,NA
435,ALCAM,1475.969175,-0.382117757,0.099620178,-3.835746569,0.000125183,0.002717159
436,ALDH16A1,56.92951019,0.188131295,0.337814934,0.556906388,0.57759139,0.797756371
437,ALDH18A1,387.2986282,-0.0872135,0.134307154,-0.649358556,0.516106645,0.753890303
438,ALDH1A1,836.29627,-0.75315531,0.146546286,-5.139368128,2.75663872073744e-07,1.71187264557795e-05
439,ALDH1A2,26.22893895,0.778970237,0.579468872,1.344283145,0.178856844,NA
440,ALDH1A3,22.71575217,-0.668736342,0.548928857,-1.218256853,0.223126381,NA
441,ALDH1B1,17.74724915,1.504994286,0.537942976,2.797683685,0.005147049,NA
442,ALDH1L1,12.2589995,0.821353023,0.845613452,0.971310261,0.331393801,NA
443,ALDH1L2,186.9342407,-0.056949719,0.20723904,-0.274802078,0.783468301,0.907820677
444,ALDH2,232.5240698,-0.002991514,0.160421727,-0.018647813,0.98512206,0.994569763
445,ALDH3A1,0.505832856,0.262638269,3.379973408,0.077704241,0.93806332,NA
446,ALDH3A2,421.4889319,-0.301566122,0.149253358,-2.020498065,0.043331751,0.188827753
447,ALDH3B2,2.569001567,-0.810748315,1.340677297,-0.604730398,0.545358147,NA
448,ALDH4A1,99.49176155,0.292009103,0.271313841,1.076277942,0.281802971,0.562926079
449,ALDH5A1,39.39908198,-0.089861181,0.384741002,-0.233562789,0.815324419,NA
450,ALDH6A1,162.0833019,0.01196651,0.210877225,0.056746339,0.95474726,0.982400313
451,ALDH7A1,309.1722979,-0.23035281,0.156888675,-1.468256454,0.142034575,0.390644125
452,ALDH8A1,7.101350691,0.034680091,1.385347687,0.025033492,0.980028249,NA
453,ALDH9A1,282.3728732,-0.09607388,0.16645211,-0.577186313,0.563813602,0.786978891
454,ALDOA,2650.43885,-0.022514198,0.118112962,-0.19061581,0.848826602,0.939363902
455,ALDOB,0,NA,NA,NA,NA,NA
456,ALDOC,43.05284256,-0.165681888,0.397504219,-0.416805358,0.676820783,0.852291505
457,ALG1,36.81616282,0.034998741,0.372128112,0.094050249,0.925069241,NA
458,ALG11,59.52314531,0.47496068,0.3125278,1.519738982,0.12857659,0.367434839
459,ALG12,78.48272984,1.068787393,0.298418667,3.58150314,0.000341623,0.006104976
460,ALG13,302.3464946,0.104953478,0.16332618,0.642600454,0.520483389,0.756955935
