gene_name,log2FC_12h,log2FC_18h,log2FC_24h,acc_untr_12h_tss,acc_untr_12h_avg,acc_vacv_12h_tss,acc_vacv_12h_avg,acc_untr_18h_tss,acc_untr_18h_avg,acc_vacv_18h_tss,acc_vacv_18h_avg,acc_untr_24h_tss,acc_untr_24h_avg,acc_vacv_24h_tss,acc_vacv_24h_avg,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,acc_delta_12h_avg,acc_delta_18h_avg,acc_delta_24h_avg,expr_var,expr_range,acc_tss_var,acc_tss_range,acc_avg_var,acc_avg_range,expr_slope,acc_tss_slope,acc_avg_slope,expr_dir,acc_tss_dir,acc_avg_dir,expr_acc_tss_agreement,expr_acc_avg_agreement,agree_count,disagree_count,neutral_count,agreement_class
PAX6,0.593771480515457,-0.013865002009227,0.587205466367816,16.3598,12.116756818181818,7.41512,11.549602,5.73944,8.176874827586207,4.89857,8.708568,6.72805,10.182175,4.8419,6.007535555555555,0.593771480515457,-0.013865002009227,0.587205466367816,-8.94468,-0.8408699999999998,-1.88615,-0.5671548181818178,0.5316931724137923,-4.174639444444444,0.1217584858986259,0.607636482524684,19.431198759233336,8.10381,6.06182982261015,4.706332616858236,-0.0005471678456367,0.5882108333333329,-0.3006237188552184,"['→', '→']","['↑', '↓']","['↑', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
LOC103242141,,,,14.9163,13.563003125000002,8.76332,12.875335000000002,12.083,9.167995,11.9743,9.587797692307692,39.4071,13.335945,17.7536,7.424235999999999,,,,-6.15298,-0.1087000000000006,-21.6535,-0.6876681250000001,0.4198026923076909,-5.911709000000002,,,123.4963080048,21.5448,11.434189164114663,6.331511692307693,,-1.2917099999999984,-0.4353367395833329,"['NA', 'NA']","['↑', '↓']","['↑', '↓']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
ELP4,3.81024401673099,1.09069195734249,1.54807903505676,12.5104,12.943482,7.41512,13.706723333333334,10.2706,8.860888333333333,5.98714,12.736288,8.65034,7.641133999999999,5.64888,7.262845,3.81024401673099,1.09069195734249,1.54807903505676,-5.095280000000001,-4.28346,-3.00146,0.763241333333335,3.8753996666666666,-0.3782889999999987,2.1204261244829,2.7195520593885,1.1144429841333343,2.093820000000001,4.847081377764107,4.253688666666665,-0.1885137484728523,0.1744849999999999,-0.0951275277777775,"['↓', '→']","['↑', '↑']","['↑', '↓']","['disagree', 'neutral']","['disagree', 'neutral']",0,1,1,mostly_disagree
IMMP1L,,,,43.7865,24.299105,41.1202,16.62784,31.718,12.78789,14.1514,12.2464275,12.9755,11.2134,8.87681,8.87681,,,,-2.6663,-17.5666,-4.09869,-7.671264999999998,-0.541462499999998,-2.3365899999999997,,,67.57588016170001,14.9003,13.752553964314584,7.1298025,,-0.1193658333333338,0.4445562499999994,"['NA', 'NA']","['↓', '↑']","['↑', '↓']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
DNAJC24,0.327262768937474,0.0666917533808881,-0.207395463841732,28.8702,32.479,28.9864,32.3569,35.3429,35.3429,21.2271,21.2271,28.3539,28.3539,7.26285,7.26285,0.327262768937474,0.0666917533808881,-0.207395463841732,0.1161999999999991,-14.1158,-21.09105,-0.1220999999999961,-14.1158,-21.09105,0.0714800804452689,0.534658232779206,116.82523152083331,21.20725,114.02910272583335,20.968950000000003,-0.0445548527316004,-1.7672708333333318,-1.7474124999999994,"['→', '→']","['↓', '↓']","['↓', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
DCDC5,-0.314489596441257,-1.41667139766996,-2.64674475698847,28.8702,9.832617391304348,28.9864,10.853041,35.3429,8.820618,21.2271,6.32731375,28.3539,8.280663846153846,7.26285,7.26285,-0.314489596441257,-1.41667139766996,-2.64674475698847,0.1161999999999991,-14.1158,-21.09105,1.020423608695653,-2.49330425,-1.017813846153846,1.3612165543606631,2.3322551605472133,116.82523152083331,21.20725,3.112961219861231,3.5137278586956526,-0.1943545967122675,-1.7672708333333318,-0.1698531212374582,"['↓', '↓']","['↓', '↓']","['↓', '↑']","['agree', 'agree']","['agree', 'disagree']",2,0,0,strictly_agree
LOC103238124,,,,3.3682,8.24004875,4.71871,5.6817142857142855,3.62491,9.254506363636365,4.35428,4.571998,16.3395,7.749255,,,,,,1.35051,0.7293700000000003,,-2.558334464285714,-4.682508363636365,,,,0.1929074497999997,0.6211399999999996,2.256057377341274,2.1241738993506507,,-0.1035233333333333,-0.3540289832251085,"['NA', 'NA']","['→', 'NA']","['↓', 'NA']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
MPPED2,0.0772368368111384,-0.408674077299376,-0.216519929193188,7.21756,9.463035555555557,12.1338,8.76331,9.06227,7.01745,5.98714,6.313712,7.6892,10.2122225,4.8419,4.357706,0.0772368368111384,-0.408674077299376,-0.216519929193188,4.916240000000001,-3.07513,-2.8473,-0.6997255555555562,-0.7037380000000004,-5.854516499999999,0.0598876117765751,0.4859109141105144,20.697742386233337,7.991370000000001,8.85040082278318,5.154790944444443,-0.0244797305003605,-0.6469616666666664,-0.4295659120370363,"['→', '→']","['↓', '→']","['→', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
LOC103238359,,,,12.0293,12.0293,6.74102,6.74102,9.06227,9.515385,,,9.61149,9.61149,,,,,,-5.288279999999999,,,-5.288279999999999,,,,,,0.0,,0.0,,-0.2203449999999998,-0.2203449999999998,"['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
ARL14EP,-0.238926907822595,0.30891573955956,0.204024114063877,3.3682,25.0209,7.41512,20.89716,5.43736,19.48388,7.62,13.244266666666668,30.7568,30.7568,9.68379,9.68379,-0.238926907822595,0.30891573955956,0.204024114063877,4.04692,2.18264,-21.07301,-4.1237400000000015,-6.239613333333331,-21.07301,0.0845565711966807,0.5478426473821549,195.8852800076333,25.11993,85.2973883610481,16.949269999999995,0.0369125851572059,-2.093327499999997,-1.4124391666666647,"['→', '→']","['↓', '↓']","['↓', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
